min_Gmag_bin,max_Gmag_bin,factor_C1B431,factor_C1B556,factor_C1B655,factor_C1B768,factor_C1B916,factor_C1M326,factor_C1M344,factor_C1M379,factor_C1M395,factor_C1M410,factor_C1M467,factor_C1M506,factor_C1M515,factor_C1M549,factor_C1M656,factor_C1M716,factor_C1M747,factor_C1M825,factor_C1M861,factor_C1M965
4.0,5.0,3.2508381311696772,2.671164566304819,1.6686159082069851,5.937605832275629,2.239729601804416,1.0427096936982516,1.0408423271823475,1.2458966336959623,0.7358125822357877,1.1686378997733584,1.2986998771952114,1.5364457913182297,0.9896846786587422,0.9461240770063533,0.6179898259827274,1.8776932006241496,2.3211410750621955,1.8619183733407065,1.3432607562429042,1.3952428529449963
5.0,6.0,3.034076777706069,2.794631263026976,1.71929251442153,5.774290722602131,2.244301385011066,1.0459653187110507,1.0496165722822148,1.2765364469493834,0.7870788076162359,1.1177951594750195,1.3331440612737713,1.5294156810674961,0.9790714173626895,0.9637914045267602,0.5981514360649904,1.811253202378036,2.1859396902409394,1.8474531699180399,1.4422115248943674,1.3837403041346759
6.0,7.0,3.456829432483632,3.1925436656116917,1.7652237513213893,5.453175463250783,2.3468480722617455,1.2152003085583525,1.2192447754187694,1.4993975603601921,0.9226090036607221,1.283130339598637,1.3633141532936477,1.5628081387682782,1.0689726121185457,1.1110430735304397,0.4807937341062747,1.4796908923929868,1.8450651102902633,1.5639075573348316,1.437071175457597,1.238833374459431
7.0,8.0,3.1673912526253165,3.0712308108357647,1.666521971587196,5.4898515284383596,2.424861406522562,0.9311145839178121,0.9298784127618565,1.3035382365902337,0.8084642579791551,1.201482781688794,1.2952518049793103,1.6071060946728242,1.1325800217431912,1.0633381411542442,0.49275161432263415,1.2978303626843828,1.7629030407939092,1.5986568810603896,1.4907284329838837,1.3579300965235754
8.0,9.0,3.259635341232172,2.7148495562148343,1.6554823105729084,4.578028599100378,2.4408927094230153,1.1269157958432934,1.1286136368461896,1.564953378078185,0.8555768495714271,0.9701339412681445,1.3880382652586527,1.3360606592603699,0.9751640647826657,0.9825533827748549,0.5587091857827431,1.335245781351993,1.5725502212044518,1.524470670999375,1.2828678030355283,1.351284823141028
9.0,10.0,3.329895604003112,3.1494604774447215,1.7164385853857993,4.730447783617333,2.211500252987863,1.2514944318251886,1.2462878792497492,1.608165035181421,0.9185477664409287,1.208984748954545,1.416450477931987,1.5543215373399413,1.0815752473992246,1.1302419459055582,0.6963314218968177,1.4554190233564384,1.7834181155499942,1.4264956068324017,1.4084010567490322,1.2545266367955707
10.0,11.0,3.2540292761321696,3.185023165466394,1.4915397492172662,4.450533119555004,1.8979428667112654,1.1328273747509168,1.1315229831979396,1.3488846646225756,0.8497145733447509,1.1665529369858687,1.4098916391541643,1.5563312715973865,1.0122495156051887,1.1282452786300317,0.6203676958795132,1.341371445698996,1.632941700287841,1.3982909402721448,1.4041446003279952,1.1368555699238732
11.0,12.0,2.852075609470805,2.3911461888034293,1.320135059407547,3.6027437509674094,1.6107404098617564,1.1419981787545705,1.1420715519203126,1.225502131687018,0.7854983209495578,1.1089469645181822,1.2729852223844271,1.2792592784365433,0.8565191883352229,0.9056950742654019,0.6460652404448155,1.1955458744714766,1.4130002709795568,1.2237752914577902,1.239159539719878,1.0462812034354785
12.0,13.0,2.3954014436395585,2.52497308147833,1.391467252762366,3.3887411935855196,1.7675770917871079,1.0826607334752518,1.0794286411392608,1.1647123539815678,0.7495856527488607,1.0219270643130893,1.1086981108330147,1.26170685765483,0.9672031169130444,1.048145476610276,0.5947622350088289,1.0226781047212814,1.2990573568180128,1.2975703642799061,1.4168854924858008,1.078118144463608
13.0,14.0,2.1929725203184147,2.0508687876816376,1.2125648315686182,2.5946180330373383,1.5379606046073127,1.1123719957531555,1.1096506570791698,1.1730404346077876,0.8965698452823418,1.068248149814543,1.1117232926618916,1.1379839441261475,0.9536174259313639,0.9873999200159955,0.7339324742718611,1.0563242957916081,1.166304305844785,1.181481339358044,1.2405583701514211,1.115326289221228
14.0,15.0,1.7549539785627872,1.65836171653467,1.1801734312545658,2.0455997995000974,1.3393502955556822,1.0982548307255282,1.0995469520822245,1.1234321644507381,0.9658657332954785,1.0804202769398823,1.0709851636255112,1.0547724625059431,0.9606233182749444,1.0152308848684206,0.8490634627496588,1.0248209527167407,1.1451199090504434,1.132075479691765,1.1595663105937715,1.076300198513323
15.0,16.0,1.587561635715975,1.3991120958070429,1.096388493417817,1.7041683410305282,1.2530640043750154,1.0694632805954831,1.0669881570297717,1.1253083699589417,1.0211320000725916,1.0482063549844522,1.0428478548041369,1.0522955273441026,1.0132648741642798,1.0142412003959,0.9398641933412167,1.041588666083513,1.0457909383418227,1.0431843782709271,1.0815514592892117,1.0449098391448541
16.0,17.0,1.4768966594115218,1.3103001154185492,1.091820151234882,1.5732694561518108,1.1551678603185787,1.0399070422631667,1.0422967247317494,1.111315885134931,0.990853342359785,1.0532860461807632,1.058887525975189,1.0289066413491152,0.9915867759530944,1.0320975923508526,0.9597721321581547,1.0293991719936861,1.0330855207338627,1.0583877310582128,1.0220349213106685,1.0337300655738175
17.0,18.0,1.4016658140571385,1.3213105448512672,1.1054601159334188,1.6122844938870824,1.221515051094424,1.0108667867012233,1.01444896968846,1.1096660174773003,0.965930683025811,1.0587844179368142,1.0424540931192856,1.0801705806894346,1.0505015394240147,1.002429181162101,0.967754787333265,1.051314367669523,1.0376900787045198,1.0439013202448915,1.0085894025928235,1.0403797429936534
18.0,19.0,1.4384930240743272,1.2937747624288378,1.1452105912002148,1.5506917858630276,1.1290052810970315,1.0379125210366924,1.0363978567535626,1.1138193312492344,1.011116121501647,1.0409145872796866,1.0667206647558878,1.0532718016349747,1.0233774756984464,1.0501292872409778,1.0225125949620775,1.022018642378951,1.0542444652596055,1.0178054285683023,1.0387132868068898,0.9949597300587439
19.0,20.0,1.4056890626664766,1.2752979860279812,1.1371528328551976,1.5669651414888999,1.1194615478556982,1.0723580791864094,1.068573142478846,1.1171160070555168,1.012088305964578,1.067697112922108,1.0689801521704227,1.0482444699909852,1.0083945377629124,0.9847837475962155,0.9943235282690679,1.0524839659688803,1.0769054211243838,1.0241233709961541,1.0255256729146494,1.0437702930443031
20.0,21.0,1.3414916736091236,1.2456346784421706,1.1110498385480263,1.7212366146924423,1.174596736607728,1.064393554725556,1.0551781439635826,1.1431843047309362,0.9467022502857898,1.0962338221472685,1.0694586152289562,0.9831659989481614,0.9451925794112246,1.0127930527898727,1.0312078156704059,1.0128175829260049,1.0731513532861339,1.0691272970965362,1.0349965342084495,1.0418562967615042
