min_Gmag_bin,max_Gmag_bin,factor_f336w,factor_f343n,factor_f350lp,factor_f390m,factor_f390w,factor_f395n,factor_f410m,factor_f438w,factor_f467m,factor_f475w,factor_f475x,factor_f547m,factor_f555w,factor_f600lp,factor_f606w,factor_f621m,factor_f625w,factor_f657n,factor_f665n,factor_f673n,factor_f680n,factor_f689m,factor_f763m,factor_f775w,factor_f814w,factor_f845m,factor_f850lz,factor_f373n,factor_f469n,factor_f487n,factor_f502n,factor_f631n,factor_f645n,factor_f656n,factor_f658n
4.0,5.0,0.9855934025541884,0.9464981743328156,4.70389342853341,1.0530475436524194,3.0532464670932606,0.6364407215700196,1.1090085195310018,2.4889157657313037,1.2375387312921404,3.6359783769710345,3.5843458206561576,2.0484282136292666,3.7304281845292717,3.895271494543287,2.9034567126891924,1.2514362306441962,2.4631625124530485,0.8409311664581844,0.8309308894614759,0.8484030957155713,2.301380985928134,3.126986171557572,4.1826166155634095,5.48993807471964,5.29126286143498,3.1782260625363357,2.444815284340079,0.45765621949330193,0.7786420183524292,0.7866701545141832,0.8013245335464521,0.7820429578945867,0.6666777049740449,0.5371288844467714,1.9809705762622911
5.0,6.0,0.955210118471358,0.9336585389375307,4.308999067144875,1.1082149548948605,2.9436886657456984,0.69717692501374,1.0152217817532412,2.417092583779367,1.3025132841347506,3.2911881821244116,3.7851277992682038,2.085036268370153,3.705100721689784,3.7211251123413556,2.679487969736245,1.2475087695346128,2.0915768557304752,0.7699934260197147,0.795081219017771,0.8681426804763286,1.9458341726363868,2.64629140304142,3.916837493880656,5.339792596645383,5.215144448415989,3.12392205311847,2.6035322868804895,0.560559272323204,0.7904664327279137,0.7773992939134327,0.8361256828665127,0.8874840499935825,0.7143356800289009,0.521771377545299,1.926549851422298
6.0,7.0,1.1698176514940037,1.1173086297040529,5.064378145939576,1.2342212528293948,3.5347847605086367,0.7948256186603104,1.1964653256984636,2.547127735713587,1.3287033882226538,3.6683687724080647,4.633331207187261,2.427821120525194,4.0920268325792275,3.9605251393079186,2.677249926035965,1.4516929936828395,2.193180731989364,0.6921802053947648,0.7372573878192066,0.7041239843714702,1.7425395658469411,2.4709939366450087,3.3645803317048975,4.930623522316797,5.485305820803161,3.1190088875536635,2.6370810606945887,0.6313659195864995,0.9241272267096321,0.9837519979024802,1.025902786218294,1.284956961123858,0.5407217122633032,0.4426459617595353,1.6699695729300181
7.0,8.0,0.9047499712854671,0.8310599407775233,5.002281179957189,1.028086018183619,2.903433518721425,0.7528998094233332,1.1294411042632078,2.1485931311215234,1.2882160589691134,3.437166584975111,4.211544797261192,2.2934229541890634,3.956870132246189,4.56949561850994,2.8554508901122633,1.4504776830762776,2.2310724274028724,0.7292737200318453,0.7833909067591652,0.6656023305717026,1.6235526608141153,2.384448318719433,3.211858353323324,4.912410672950221,5.555567780872656,3.162694868224741,2.9359123708961796,0.5799494786823429,0.89724494406353,0.900858134616467,0.9818232286144037,1.2296389313586849,0.5612491051257704,0.4540340847808133,1.4665027048283195
8.0,9.0,1.0862717665495345,1.0565379403497799,4.06522337496982,1.093354805571804,3.390142375486757,0.7294815750691616,0.8501776630350211,1.8699261826721167,1.4397240125827646,3.157493493474763,3.4448367102292865,2.07034999467908,3.322805609805919,3.8262685267681062,2.629594146021374,1.3568985609509476,2.155722185473806,0.7912120972556804,0.9141383176285838,0.7371603147737399,1.6671241976778859,2.59435766309124,2.8268209415588936,4.093199533163716,4.756077565170188,2.803961707736433,2.5572314141129993,0.5588671083823737,0.839378103999049,0.8274617447753968,0.8858419000209112,1.2054078234993808,0.6024511988404225,0.5100410755802253,1.5383254413094867
9.0,10.0,1.214813874053554,1.1771444301893217,4.101944127495645,1.2776918227782095,3.4231436500403465,0.8217236624898668,1.0881727080464596,2.1759233209595905,1.479030695572189,3.501894406827833,3.964676221600993,2.3516467784564443,3.8704313331862066,3.457972676969849,2.935227172059352,1.6357196407122436,2.4543495674953366,0.9189923623477143,1.0172193521099313,0.8612126127218578,1.7801335798543618,2.5074002087735643,3.0252315690121967,4.272465470798775,4.763974432974701,2.8632241981430426,2.3361267066046345,0.7344321759132271,1.010066568706879,0.9948917556145416,1.0048505778515002,1.3668597241634906,0.7615797469708261,0.656643450743633,1.9521477309233226
10.0,11.0,1.0826549892229473,1.0715480284242722,3.9840172527164226,1.1607045036697685,3.150217629446023,0.7173922437473186,1.0172199819211436,2.378334548588798,1.4472634614881654,3.762630196002199,4.123139427951136,2.3179246746739945,3.9780683422692205,2.762215856338698,2.8577423988046875,1.536891612139149,2.406262903243708,0.8719346162106683,0.8480382111992737,0.7168210198913159,1.540901929312838,2.1557194337370906,2.82473903331347,4.042200768958789,4.267686564803215,2.6098196149480333,1.898116323708374,0.5626728250740893,0.7623927603375508,0.8991174367438901,0.8737285265302064,1.305887947862113,0.6340400203234281,0.5811465478386286,2.1766101196862855
11.0,12.0,1.1162604207997089,1.094472283292852,3.0965585823386617,1.0139655845062054,2.5483904921018725,0.6644799099384952,1.007291887355469,2.1828503222733353,1.3272446182596438,3.181917972151134,3.1941766691708717,1.7880348967861122,2.865059248118773,2.0731513926172465,2.117401753385649,1.2051400626561246,1.8453833740612997,0.8501389014846737,0.7968740821807725,0.72094097821871,1.3158567531496392,1.7852890697269812,2.342794953237284,3.284367052330543,3.409701067184081,2.129295873593302,1.5559744514264833,0.5831765252619958,0.7107809838180736,0.8178395529546206,0.7236847148082435,1.1345769975155435,0.6536843889464493,0.6069974276749799,1.6330901312215849
12.0,13.0,1.0532744186037255,1.0298332704072564,3.4908465601868466,0.9489153751082557,2.3422208515676184,0.6925223517505694,0.9388800234975408,1.8369475199197356,1.1477858443706976,2.74900878664191,3.045593165611023,1.8572160469952523,2.8615557447501727,2.790674313978781,1.9924636482242732,1.3152400745662107,1.8759763703709738,0.7479069937657417,0.7506831317320936,0.6752257809361997,1.151056366176599,1.6274855203659384,2.0920448009556054,3.041130190609519,3.500078788645748,2.2422314465486455,1.8863220976894284,0.6235107127426309,0.7700830005742898,0.8109290881949476,0.7920164329257428,1.3025956673100616,0.646981208950196,0.5765330914773497,1.188140938335176
13.0,14.0,1.090894012507954,1.0849139516987625,2.8722207370522668,0.9998093826314373,2.0623618772545376,0.8453504597182424,1.013146125705389,1.7464657973521314,1.1313884080420986,2.4318508495510294,2.542112538850083,1.525463878271563,2.3005484528580467,2.169289134006231,1.7479471322127158,1.1658447533556031,1.5425468489143594,0.8382617271527272,0.8405850189540561,0.801281752934171,1.152611582798238,1.4376147479041852,1.7589729715459206,2.399702870233569,2.7277105605408365,1.8209204008230864,1.636138899604818,0.787749463196104,0.8377671706923664,0.8734818015856296,0.8460236834286126,1.1509885694037623,0.7412002143000688,0.712510768904628,1.1450457917565644
14.0,15.0,1.08107016495021,1.0746252591454313,2.182068000450877,1.0497211344731714,1.8102523012074436,0.9291646318778803,1.0455782962338573,1.4897654928306912,1.067712683181558,1.8405519693572314,1.9674913589668455,1.345749978302258,1.8106861133055685,1.8236022490817039,1.5044261113341801,1.1081033059580712,1.3982331401062527,0.9012329152528973,0.8987545908523382,0.8709309151963351,1.1206856649873875,1.3214233808997558,1.4481733288256478,1.8642236796911562,2.078456684637524,1.5235309124275833,1.4509334771814353,0.8856396797992561,0.9392426135868894,0.9304861690654216,0.9337762183813254,1.0977901756033175,0.8562775543109389,0.8417947136289787,1.0909969079103496
15.0,16.0,1.052173255483234,1.042236530846869,1.8236612760251032,1.082954189493749,1.7365950600119084,0.9872854282435278,1.0191223704763233,1.340002288511957,1.0593212704320298,1.6047145174493318,1.6836103677994814,1.186975755257943,1.5332474867203216,1.616024129174392,1.3363770643066144,1.0510386856963505,1.2601584528032181,0.9346973349504542,0.9528047038540386,0.9459899173547449,1.09445465295363,1.2196918701428552,1.3028523954613576,1.6133253805845091,1.7904032172027624,1.260341822557808,1.3028298887160443,0.9742722035444353,1.0006226695423703,0.9900252453623661,0.9605533974598617,1.0560266023070541,0.9344389306250068,0.9369593426645101,1.0997632491198046
16.0,17.0,1.0331686964896356,1.0253750017739471,1.6125682241144372,1.055803311522867,1.6915722651549552,0.9671343901049505,1.020234885549735,1.298336348661174,1.054105175860402,1.5183231711709855,1.6247000268887457,1.140266568090631,1.4774806520917436,1.4599828677145332,1.291427736309222,1.0275122401350227,1.1946594182810255,0.9840385964704517,0.9728301326134181,0.9612624599288631,1.078225329751624,1.2185837625851135,1.229053472751239,1.4631778055438014,1.603978717045337,1.1883660756714975,1.1573481741582892,0.9726943782448934,1.0024654869867835,0.9953392762490506,0.9892101576980277,1.0418436032528582,0.9698907159078405,0.9573396271420476,1.1193680542735651
17.0,18.0,1.00869012855958,1.0008472223048979,1.5578532753410395,1.0751544397521227,1.59887612127716,0.9761380678129095,1.0371831751791287,1.2479714346613888,1.0503149589209344,1.513501427089677,1.5613523746058229,1.2091519864324067,1.5201204152960783,1.4761498972642701,1.3132455249511636,1.0574764815991555,1.2376288363494374,0.9756684344654446,0.9810966721196498,0.9844340867261308,1.084228105418434,1.2247294238168438,1.2685092737275472,1.5225979211553216,1.6958242340051828,1.2230708949290197,1.215125794856863,0.9744268631622839,1.0231606280689358,0.9904595484825744,0.9911672451903935,1.0436201876667501,0.9083365408641013,0.9579261597630663,1.1909415194132906
18.0,19.0,1.022321704496948,1.0293906507652246,1.5213533615933654,1.12243439703652,1.5956727294555693,1.00337384146282,1.0322977166482736,1.3083684171308232,1.0467901593477007,1.583872640126833,1.6139924147243705,1.1669487230302389,1.5486239874553929,1.3759359428718514,1.4033847486198845,1.044625420545288,1.2634566779994771,1.0196058915258717,0.9860027535757727,0.9864319163218851,1.1069058362085367,1.3054464229314133,1.193756391806219,1.4599369978730725,1.5859362603025127,1.2048683933813078,1.0904457663623073,0.9623393164686298,1.0284730979918808,0.9785262924246543,1.0158388135344043,0.9913760763148642,0.988217292336999,1.0025082160289474,1.236109412188937
19.0,20.0,1.0526037055016826,1.0593978221187879,1.5255991321298699,1.0667043669637253,1.5924287646532533,1.007932440692222,1.0506081229740074,1.2492377602517424,1.073782550533563,1.5221202397880969,1.5701647776550018,1.1594744911458696,1.4658988643941684,1.3635662504373103,1.3240243511547205,1.0517975902362564,1.183718708916801,0.9934967836595485,0.957015629135038,0.9981927742939996,1.1065699345222915,1.3219547510982412,1.2195853670187848,1.4500548662563888,1.5689388911472295,1.1778889472638308,1.0791255836630977,1.0197260363181742,1.024693092963479,1.054537389724573,0.997026970502016,1.0358289211831493,1.0223670662262951,0.9964358003949576,1.2638369396685756
20.0,21.0,1.0468985462344054,1.0419151716736836,1.5463967698961498,1.043221532491638,1.6499812219565972,0.9300442937895108,1.0613554517516381,1.240237146707765,1.0823533545383064,1.4906663352027234,1.5371786355121992,1.0725151810281575,1.4364005598675698,1.281654053408909,1.2664346327668323,1.0601153063187503,1.150022791836082,0.9703287788003667,0.9654562514126405,1.0053569147644823,1.0754514457847306,1.18727941835176,1.2926371303242254,1.4646425246387231,1.6086994299865727,1.1961026642493495,1.0333084349253223,0.9674672330983516,0.9861809854440312,0.983547929772722,0.9384196723378717,1.0131045443461761,0.9926566293397512,1.0246375632755313,1.2793754460653055
