wl_nm,bp_pwl,rp_pwl
300.00000,62.52577,
301.00000,62.07562,
302.00000,61.63182,
303.00000,61.19417,
304.00000,60.76249,
305.00000,60.33658,
306.00000,59.91625,
307.00000,59.50131,
308.00000,59.09158,
309.00000,58.68685,
310.00000,58.28695,
311.00000,57.89169,
312.00000,57.50086,
313.00000,57.11429,
314.00000,56.73178,
315.00000,56.35314,
316.00000,55.97822,
317.00000,55.60696,
318.00000,55.23936,
319.00000,54.87540,
320.00000,54.51506,
321.00000,54.15834,
322.00000,53.80522,
323.00000,53.45569,
324.00000,53.10973,
325.00000,52.76732,
326.00000,52.42846,
327.00000,52.09313,
328.00000,51.76132,
329.00000,51.43301,
330.00000,51.10820,
331.00000,50.78685,
332.00000,50.46897,
333.00000,50.15454,
334.00000,49.84354,
335.00000,49.53597,
336.00000,49.23179,
337.00000,48.93097,
338.00000,48.63346,
339.00000,48.33921,
340.00000,48.04816,
341.00000,47.76027,
342.00000,47.47548,
343.00000,47.19375,
344.00000,46.91502,
345.00000,46.63925,
346.00000,46.36638,
347.00000,46.09637,
348.00000,45.82916,
349.00000,45.56471,
350.00000,45.30296,
351.00000,45.04386,
352.00000,44.78737,
353.00000,44.53343,
354.00000,44.28199,
355.00000,44.03301,
356.00000,43.78643,
357.00000,43.54223,
358.00000,43.30038,
359.00000,43.06085,
360.00000,42.82362,
361.00000,42.58866,
362.00000,42.35594,
363.00000,42.12544,
364.00000,41.89713,
365.00000,41.67098,
366.00000,41.44697,
367.00000,41.22507,
368.00000,41.00525,
369.00000,40.78749,
370.00000,40.57177,
371.00000,40.35805,
372.00000,40.14630,
373.00000,39.93651,
374.00000,39.72864,
375.00000,39.52267,
376.00000,39.31857,
377.00000,39.11633,
378.00000,38.91591,
379.00000,38.71729,
380.00000,38.52047,
381.00000,38.32540,
382.00000,38.13207,
383.00000,37.94046,
384.00000,37.75055,
385.00000,37.56231,
386.00000,37.37572,
387.00000,37.19076,
388.00000,37.00741,
389.00000,36.82565,
390.00000,36.64545,
391.00000,36.46679,
392.00000,36.28966,
393.00000,36.11402,
394.00000,35.93985,
395.00000,35.76714,
396.00000,35.59587,
397.00000,35.42601,
398.00000,35.25755,
399.00000,35.09048,
400.00000,34.92478,
401.00000,34.76044,
402.00000,34.59744,
403.00000,34.43576,
404.00000,34.27540,
405.00000,34.11633,
406.00000,33.95854,
407.00000,33.80202,
408.00000,33.64675,
409.00000,33.49272,
410.00000,33.33990,
411.00000,33.18830,
412.00000,33.03788,
413.00000,32.88864,
414.00000,32.74055,
415.00000,32.59361,
416.00000,32.44781,
417.00000,32.30312,
418.00000,32.15954,
419.00000,32.01705,
420.00000,31.87565,
421.00000,31.73532,
422.00000,31.59606,
423.00000,31.45784,
424.00000,31.32067,
425.00000,31.18452,
426.00000,31.04939,
427.00000,30.91526,
428.00000,30.78213,
429.00000,30.64998,
430.00000,30.51880,
431.00000,30.38859,
432.00000,30.25932,
433.00000,30.13098,
434.00000,30.00358,
435.00000,29.87709,
436.00000,29.75150,
437.00000,29.62680,
438.00000,29.50300,
439.00000,29.38007,
440.00000,29.25801,
441.00000,29.13681,
442.00000,29.01646,
443.00000,28.89696,
444.00000,28.77830,
445.00000,28.66046,
446.00000,28.54344,
447.00000,28.42723,
448.00000,28.31182,
449.00000,28.19721,
450.00000,28.08339,
451.00000,27.97034,
452.00000,27.85805,
453.00000,27.74653,
454.00000,27.63576,
455.00000,27.52574,
456.00000,27.41645,
457.00000,27.30788,
458.00000,27.20004,
459.00000,27.09291,
460.00000,26.98650,
461.00000,26.88078,
462.00000,26.77576,
463.00000,26.67143,
464.00000,26.56778,
465.00000,26.46480,
466.00000,26.36250,
467.00000,26.26086,
468.00000,26.15987,
469.00000,26.05953,
470.00000,25.95983,
471.00000,25.86077,
472.00000,25.76234,
473.00000,25.66453,
474.00000,25.56734,
475.00000,25.47076,
476.00000,25.37478,
477.00000,25.27940,
478.00000,25.18461,
479.00000,25.09041,
480.00000,24.99679,
481.00000,24.90375,
482.00000,24.81128,
483.00000,24.71938,
484.00000,24.62805,
485.00000,24.53727,
486.00000,24.44704,
487.00000,24.35737,
488.00000,24.26823,
489.00000,24.17964,
490.00000,24.09157,
491.00000,24.00404,
492.00000,23.91702,
493.00000,23.83053,
494.00000,23.74455,
495.00000,23.65907,
496.00000,23.57410,
497.00000,23.48963,
498.00000,23.40566,
499.00000,23.32217,
500.00000,23.23917,
501.00000,23.15665,
502.00000,23.07462,
503.00000,22.99305,
504.00000,22.91196,
505.00000,22.83133,
506.00000,22.75117,
507.00000,22.67146,
508.00000,22.59221,
509.00000,22.51341,
510.00000,22.43505,
511.00000,22.35714,
512.00000,22.27966,
513.00000,22.20262,
514.00000,22.12601,
515.00000,22.04982,
516.00000,21.97405,
517.00000,21.89870,
518.00000,21.82377,
519.00000,21.74925,
520.00000,21.67514,-11.94028
521.00000,21.60143,-11.65280
522.00000,21.52812,-11.36561
523.00000,21.45522,-11.07904
524.00000,21.38270,-10.79337
525.00000,21.31058,-10.50893
526.00000,21.23885,-10.22600
527.00000,21.16751,-9.94490
528.00000,21.09654,-9.66593
529.00000,21.02596,-9.38939
530.00000,20.95575,-9.11559
531.00000,20.88591,-8.84475
532.00000,20.81644,-8.57675
533.00000,20.74734,-8.31138
534.00000,20.67860,-8.04846
535.00000,20.61022,-7.78777
536.00000,20.54220,-7.52911
537.00000,20.47453,-7.27229
538.00000,20.40721,-7.01710
539.00000,20.34024,-6.76335
540.00000,20.27361,-6.51082
541.00000,20.20733,-6.25935
542.00000,20.14139,-6.00896
543.00000,20.07578,-5.75967
544.00000,20.01051,-5.51153
545.00000,19.94557,-5.26457
546.00000,19.88096,-5.01883
547.00000,19.81668,-4.77436
548.00000,19.75272,-4.53119
549.00000,19.68909,-4.28936
550.00000,19.62577,-4.04891
551.00000,19.56277,-3.80987
552.00000,19.50008,-3.57222
553.00000,19.43770,-3.33594
554.00000,19.37563,-3.10101
555.00000,19.31387,-2.86741
556.00000,19.25241,-2.63510
557.00000,19.19125,-2.40407
558.00000,19.13039,-2.17429
559.00000,19.06983,-1.94574
560.00000,19.00956,-1.71839
561.00000,18.94958,-1.49223
562.00000,18.88989,-1.26724
563.00000,18.83050,-1.04341
564.00000,18.77138,-0.82075
565.00000,18.71256,-0.59925
566.00000,18.65401,-0.37890
567.00000,18.59575,-0.15969
568.00000,18.53776,0.05838
569.00000,18.48005,0.27531
570.00000,18.42262,0.49112
571.00000,18.36545,0.70580
572.00000,18.30856,0.91937
573.00000,18.25193,1.13184
574.00000,18.19557,1.34322
575.00000,18.13947,1.55351
576.00000,18.08364,1.76272
577.00000,18.02806,1.97087
578.00000,17.97274,2.17797
579.00000,17.91768,2.38402
580.00000,17.86287,2.58903
581.00000,17.80831,2.79302
582.00000,17.75399,2.99599
583.00000,17.69993,3.19794
584.00000,17.64610,3.39889
585.00000,17.59252,3.59885
586.00000,17.53918,3.79781
587.00000,17.48607,3.99580
588.00000,17.43320,4.19280
589.00000,17.38056,4.38885
590.00000,17.32815,4.58393
591.00000,17.27597,4.77806
592.00000,17.22402,4.97124
593.00000,17.17228,5.16349
594.00000,17.12077,5.35481
595.00000,17.06948,5.54521
596.00000,17.01841,5.73469
597.00000,16.96755,5.92326
598.00000,16.91690,6.11093
599.00000,16.86648,6.29771
600.00000,16.81626,6.48360
601.00000,16.76627,6.66861
602.00000,16.71648,6.85275
603.00000,16.66691,7.03602
604.00000,16.61755,7.21843
605.00000,16.56841,7.39998
606.00000,16.51948,7.58069
607.00000,16.47076,7.76056
608.00000,16.42225,7.93959
609.00000,16.37396,8.11779
610.00000,16.32587,8.29516
611.00000,16.27800,8.47172
612.00000,16.23033,8.64747
613.00000,16.18288,8.82242
614.00000,16.13563,8.99657
615.00000,16.08859,9.16993
616.00000,16.04177,9.34250
617.00000,15.99514,9.51429
618.00000,15.94871,9.68532
619.00000,15.90248,9.85558
620.00000,15.85644,10.02509
621.00000,15.81057,10.19384
622.00000,15.76489,10.36184
623.00000,15.71938,10.52911
624.00000,15.67404,10.69563
625.00000,15.62886,10.86143
626.00000,15.58384,11.02649
627.00000,15.53897,11.19083
628.00000,15.49425,11.35445
629.00000,15.44968,11.51736
630.00000,15.40524,11.67955
631.00000,15.36093,11.84103
632.00000,15.31676,12.00182
633.00000,15.27270,12.16191
634.00000,15.22877,12.32132
635.00000,15.18494,12.48004
636.00000,15.14123,12.63809
637.00000,15.09763,12.79548
638.00000,15.05414,12.95220
639.00000,15.01077,13.10827
640.00000,14.96752,13.26369
641.00000,14.92439,13.41848
642.00000,14.88139,13.57262
643.00000,14.83852,13.72613
644.00000,14.79579,13.87901
645.00000,14.75319,14.03126
646.00000,14.71073,14.18287
647.00000,14.66841,14.33387
648.00000,14.62624,14.48424
649.00000,14.58422,14.63399
650.00000,14.54235,14.78312
651.00000,14.50064,14.93163
652.00000,14.45908,15.07954
653.00000,14.41769,15.22684
654.00000,14.37646,15.37354
655.00000,14.33540,15.51965
656.00000,14.29451,15.66517
657.00000,14.25379,15.81011
658.00000,14.21324,15.95448
659.00000,14.17285,16.09827
660.00000,14.13263,16.24150
661.00000,14.09256,16.38417
662.00000,14.05266,16.52629
663.00000,14.01291,16.66785
664.00000,13.97331,16.80887
665.00000,13.93387,16.94934
666.00000,13.89458,17.08927
667.00000,13.85543,17.22866
668.00000,13.81644,17.36752
669.00000,13.77758,17.50585
670.00000,13.73887,17.64366
671.00000,13.70029,17.78094
672.00000,13.66186,17.91770
673.00000,13.62356,18.05395
674.00000,13.58539,18.18968
675.00000,13.54735,18.32491
676.00000,13.50944,18.45963
677.00000,13.47166,18.59385
678.00000,13.43401,18.72757
679.00000,13.39648,18.86080
680.00000,13.35908,18.99353
681.00000,13.32181,19.12578
682.00000,13.28466,19.25754
683.00000,13.24764,19.38883
684.00000,13.21074,19.51963
685.00000,13.17397,19.64997
686.00000,13.13732,19.77983
687.00000,13.10079,19.90922
688.00000,13.06439,20.03815
689.00000,13.02810,20.16662
690.00000,12.99194,20.29464
691.00000,12.95590,20.42220
692.00000,12.91998,20.54931
693.00000,12.88418,20.67598
694.00000,12.84849,20.80219
695.00000,12.81293,20.92797
696.00000,12.77748,21.05331
697.00000,12.74215,21.17822
698.00000,12.70694,21.30269
699.00000,12.67185,21.42673
700.00000,12.63686,21.55034
701.00000,12.60200,21.67353
702.00000,12.56724,21.79630
703.00000,12.53260,21.91865
704.00000,12.49807,22.04059
705.00000,12.46365,22.16211
706.00000,12.42934,22.28322
707.00000,12.39514,22.40393
708.00000,12.36105,22.52423
709.00000,12.32707,22.64414
710.00000,12.29319,22.76364
711.00000,12.25942,22.88276
712.00000,12.22575,23.00147
713.00000,12.19219,23.11980
714.00000,12.15873,23.23775
715.00000,12.12538,23.35530
716.00000,12.09212,23.47248
717.00000,12.05897,23.58927
718.00000,12.02592,23.70568
719.00000,11.99297,23.82172
720.00000,11.96012,23.93739
721.00000,11.92737,24.05268
722.00000,11.89471,24.16760
723.00000,11.86215,24.28216
724.00000,11.82970,24.39636
725.00000,11.79733,24.51020
726.00000,11.76507,24.62368
727.00000,11.73289,24.73680
728.00000,11.70082,24.84958
729.00000,11.66883,24.96201
730.00000,11.63694,25.07409
731.00000,11.60515,25.18583
732.00000,11.57344,25.29723
733.00000,11.54183,25.40829
734.00000,11.51031,25.51902
735.00000,11.47888,25.62940
736.00000,11.44754,25.73946
737.00000,11.41629,25.84917
738.00000,11.38513,25.95856
739.00000,11.35405,26.06762
740.00000,11.32307,26.17635
741.00000,11.29217,26.28475
742.00000,11.26135,26.39282
743.00000,11.23063,26.50057
744.00000,11.19999,26.60801
745.00000,11.16943,26.71513
746.00000,11.13896,26.82193
747.00000,11.10857,26.92843
748.00000,11.07827,27.03462
749.00000,11.04805,27.14051
750.00000,11.01791,27.24610
751.00000,10.98785,27.35139
752.00000,10.95787,27.45638
753.00000,10.92798,27.56108
754.00000,10.89816,27.66548
755.00000,10.86843,27.76959
756.00000,10.83877,27.87341
757.00000,10.80919,27.97693
758.00000,10.77969,28.08017
759.00000,10.75027,28.18311
760.00000,10.72092,28.28577
761.00000,10.69165,28.38813
762.00000,10.66246,28.49022
763.00000,10.63334,28.59202
764.00000,10.60430,28.69354
765.00000,10.57534,28.79478
766.00000,10.54644,28.89575
767.00000,10.51763,28.99645
768.00000,10.48888,29.09688
769.00000,10.46021,29.19704
770.00000,10.43161,29.29694
771.00000,10.40308,29.39657
772.00000,10.37463,29.49595
773.00000,10.34624,29.59506
774.00000,10.31793,29.69392
775.00000,10.28968,29.79252
776.00000,10.26151,29.89085
777.00000,10.23340,29.98893
778.00000,10.20537,30.08676
779.00000,10.17740,30.18432
780.00000,10.14950,30.28163
781.00000,10.12167,30.37869
782.00000,10.09391,30.47549
783.00000,10.06621,30.57204
784.00000,10.03858,30.66834
785.00000,10.01101,30.76440
786.00000,9.98351,30.86022
787.00000,9.95608,30.95580
788.00000,9.92871,31.05114
789.00000,9.90140,31.14625
790.00000,9.87416,31.24113
791.00000,9.84699,31.33578
792.00000,9.81987,31.43021
793.00000,9.79282,31.52440
794.00000,9.76583,31.61837
795.00000,9.73891,31.71211
796.00000,9.71204,31.80562
797.00000,9.68524,31.89890
798.00000,9.65850,31.99196
799.00000,9.63182,32.08479
800.00000,9.60519,32.17739
801.00000,9.57863,32.26976
802.00000,9.55213,32.36190
803.00000,9.52569,32.45383
804.00000,9.49930,32.54553
805.00000,9.47298,32.63702
806.00000,9.44671,32.72829
807.00000,9.42050,32.81935
808.00000,9.39435,32.91020
809.00000,9.36825,33.00085
810.00000,9.34222,33.09129
811.00000,9.31623,33.18153
812.00000,9.29031,33.27158
813.00000,9.26444,33.36142
814.00000,9.23862,33.45106
815.00000,9.21286,33.54051
816.00000,9.18716,33.62975
817.00000,9.16151,33.71879
818.00000,9.13591,33.80763
819.00000,9.11037,33.89626
820.00000,9.08488,33.98470
821.00000,9.05944,34.07293
822.00000,9.03406,34.16097
823.00000,9.00873,34.24881
824.00000,8.98345,34.33645
825.00000,8.95822,34.42390
826.00000,8.93304,34.51116
827.00000,8.90792,34.59824
828.00000,8.88285,34.68513
829.00000,8.85782,34.77184
830.00000,8.83285,34.85836
831.00000,8.80793,34.94471
832.00000,8.78306,35.03089
833.00000,8.75824,35.11688
834.00000,8.73346,35.20270
835.00000,8.70874,35.28834
836.00000,8.68406,35.37379
837.00000,8.65943,35.45907
838.00000,8.63485,35.54417
839.00000,8.61032,35.62909
840.00000,8.58584,35.71383
841.00000,8.56140,35.79839
842.00000,8.53701,35.88277
843.00000,8.51267,35.96697
844.00000,8.48837,36.05100
845.00000,8.46412,36.13486
846.00000,8.43992,36.21855
847.00000,8.41576,36.30208
848.00000,8.39164,36.38544
849.00000,8.36758,36.46864
850.00000,8.34355,36.55168
851.00000,8.31957,36.63456
852.00000,8.29564,36.71728
853.00000,8.27175,36.79985
854.00000,8.24790,36.88226
855.00000,8.22410,36.96451
856.00000,8.20034,37.04660
857.00000,8.17662,37.12854
858.00000,8.15295,37.21031
859.00000,8.12932,37.29193
860.00000,8.10573,37.37339
861.00000,8.08218,37.45468
862.00000,8.05868,37.53582
863.00000,8.03522,37.61680
864.00000,8.01179,37.69763
865.00000,7.98841,37.77830
866.00000,7.96507,37.85882
867.00000,7.94178,37.93919
868.00000,7.91852,38.01941
869.00000,7.89530,38.09948
870.00000,7.87212,38.17941
871.00000,7.84899,38.25919
872.00000,7.82589,38.33882
873.00000,7.80283,38.41831
874.00000,7.77981,38.49766
875.00000,7.75683,38.57687
876.00000,7.73389,38.65593
877.00000,7.71099,38.73485
878.00000,7.68812,38.81363
879.00000,7.66530,38.89227
880.00000,7.64251,38.97077
881.00000,7.61976,39.04913
882.00000,7.59704,39.12735
883.00000,7.57437,39.20543
884.00000,7.55173,39.28337
885.00000,7.52913,39.36118
886.00000,7.50656,39.43886
887.00000,7.48403,39.51640
888.00000,7.46154,39.59381
889.00000,7.43909,39.67108
890.00000,7.41667,39.74822
891.00000,7.39428,39.82523
892.00000,7.37193,39.90212
893.00000,7.34962,39.97887
894.00000,7.32734,40.05549
895.00000,7.30510,40.13199
896.00000,7.28289,40.20836
897.00000,7.26072,40.28460
898.00000,7.23858,40.36071
899.00000,7.21647,40.43671
900.00000,7.19440,40.51257
901.00000,7.17236,40.58831
902.00000,7.15036,40.66393
903.00000,7.12839,40.73943
904.00000,7.10645,40.81480
905.00000,7.08455,40.89005
906.00000,7.06268,40.96517
907.00000,7.04084,41.04017
908.00000,7.01904,41.11505
909.00000,6.99726,41.18980
910.00000,6.97552,41.26444
911.00000,6.95382,41.33894
912.00000,6.93214,41.41333
913.00000,6.91050,41.48760
914.00000,6.88888,41.56174
915.00000,6.86730,41.63577
916.00000,6.84575,41.70968
917.00000,6.82424,41.78348
918.00000,6.80275,41.85716
919.00000,6.78129,41.93073
920.00000,6.75987,42.00419
921.00000,6.73847,42.07754
922.00000,6.71711,42.15078
923.00000,6.69577,42.22391
924.00000,6.67447,42.29693
925.00000,6.65319,42.36984
926.00000,6.63195,42.44264
927.00000,6.61073,42.51534
928.00000,6.58954,42.58792
929.00000,6.56839,42.66040
930.00000,6.54726,42.73277
931.00000,6.52616,42.80503
932.00000,6.50509,42.87719
933.00000,6.48405,42.94924
934.00000,6.46304,43.02118
935.00000,6.44206,43.09302
936.00000,6.42110,43.16475
937.00000,6.40017,43.23638
938.00000,6.37928,43.30790
939.00000,6.35840,43.37932
940.00000,6.33756,43.45064
941.00000,6.31674,43.52185
942.00000,6.29596,43.59296
943.00000,6.27519,43.66397
944.00000,6.25446,43.73489
945.00000,6.23375,43.80570
946.00000,6.21307,43.87641
947.00000,6.19242,43.94702
948.00000,6.17179,44.01753
949.00000,6.15120,44.08795
950.00000,6.13062,44.15826
951.00000,6.11007,44.22848
952.00000,6.08955,44.29861
953.00000,6.06906,44.36863
954.00000,6.04859,44.43856
955.00000,6.02815,44.50840
956.00000,6.00773,44.57813
957.00000,5.98734,44.64778
958.00000,5.96697,44.71732
959.00000,5.94663,44.78677
960.00000,5.92631,44.85612
961.00000,5.90602,44.92538
962.00000,5.88576,44.99454
963.00000,5.86552,45.06361
964.00000,5.84530,45.13258
965.00000,5.82511,45.20147
966.00000,5.80494,45.27026
967.00000,5.78480,45.33896
968.00000,5.76468,45.40758
969.00000,5.74458,45.47610
970.00000,5.72451,45.54454
971.00000,5.70447,45.61290
972.00000,5.68445,45.68116
973.00000,5.66445,45.74934
974.00000,5.64447,45.81744
975.00000,5.62452,45.88545
976.00000,5.60459,45.95337
977.00000,5.58469,46.02121
978.00000,5.56480,46.08897
979.00000,5.54494,46.15664
980.00000,5.52511,46.22422
981.00000,5.50529,46.29172
982.00000,5.48550,46.35914
983.00000,5.46574,46.42647
984.00000,5.44599,46.49371
985.00000,5.42627,46.56087
986.00000,5.40657,46.62795
987.00000,5.38689,46.69494
988.00000,5.36723,46.76185
989.00000,5.34760,46.82868
990.00000,5.32799,46.89542
991.00000,5.30840,46.96208
992.00000,5.28883,47.02865
993.00000,5.26928,47.09514
994.00000,5.24976,47.16155
995.00000,5.23025,47.22788
996.00000,5.21077,47.29413
997.00000,5.19131,47.36030
998.00000,5.17187,47.42639
999.00000,5.15245,47.49240
1000.00000,5.13305,47.55834
1001.00000,5.11367,47.62420
1002.00000,5.09432,47.68997
1003.00000,5.07498,47.75568
1004.00000,5.05567,47.82130
1005.00000,5.03637,47.88685
1006.00000,5.01710,47.95232
1007.00000,4.99785,48.01772
1008.00000,4.97861,48.08304
1009.00000,4.95940,48.14828
1010.00000,4.94021,48.21345
1011.00000,4.92103,48.27854
1012.00000,4.90188,48.34356
1013.00000,4.88275,48.40850
1014.00000,4.86364,48.47336
1015.00000,4.84454,48.53816
1016.00000,4.82547,48.60288
1017.00000,4.80641,48.66752
1018.00000,4.78738,48.73209
1019.00000,4.76836,48.79659
1020.00000,4.74937,48.86102
1021.00000,4.73039,48.92538
1022.00000,4.71143,48.98966
1023.00000,4.69249,49.05388
1024.00000,4.67357,49.11802
1025.00000,4.65467,49.18209
1026.00000,4.63579,49.24610
1027.00000,4.61693,49.31003
1028.00000,4.59808,49.37389
1029.00000,4.57926,49.43768
1030.00000,4.56045,49.50141
1031.00000,4.54166,49.56506
1032.00000,4.52289,49.62865
1033.00000,4.50414,49.69217
1034.00000,4.48540,49.75561
1035.00000,4.46669,49.81899
1036.00000,4.44799,49.88230
1037.00000,4.42931,49.94554
1038.00000,4.41065,50.00872
1039.00000,4.39200,50.07182
1040.00000,4.37338,50.13486
1041.00000,4.35477,50.19783
1042.00000,4.33618,50.26073
1043.00000,4.31760,50.32356
1044.00000,4.29905,50.38633
1045.00000,4.28051,50.44903
1046.00000,4.26199,50.51166
1047.00000,4.24349,50.57423
1048.00000,4.22500,50.63674
1049.00000,4.20653,50.69919
1050.00000,4.18808,50.76157
1051.00000,4.16964,50.82389
1052.00000,4.15122,50.88614
1053.00000,4.13282,50.94834
1054.00000,4.11444,51.01047
1055.00000,4.09607,51.07254
1056.00000,4.07772,51.13454
1057.00000,4.05939,51.19648
1058.00000,4.04107,51.25836
1059.00000,4.02277,51.32018
1060.00000,4.00449,51.38193
1061.00000,3.98622,51.44362
1062.00000,3.96797,51.50525
1063.00000,3.94973,51.56681
1064.00000,3.93151,51.62831
1065.00000,3.91331,51.68975
1066.00000,3.89512,51.75113
1067.00000,3.87695,51.81244
1068.00000,3.85880,51.87370
1069.00000,3.84066,51.93489
1070.00000,3.82254,51.99603
1071.00000,3.80443,52.05710
1072.00000,3.78634,52.11811
1073.00000,3.76826,52.17906
1074.00000,3.75020,52.23996
1075.00000,3.73216,52.30079
1076.00000,3.71413,52.36156
1077.00000,3.69612,52.42228
1078.00000,3.67812,52.48293
1079.00000,3.66014,52.54353
1080.00000,3.64217,52.60406
1081.00000,3.62422,52.66454
1082.00000,3.60628,52.72496
1083.00000,3.58836,52.78532
1084.00000,3.57046,52.84562
1085.00000,3.55257,52.90586
1086.00000,3.53469,52.96605
1087.00000,3.51683,53.02618
1088.00000,3.49898,53.08626
1089.00000,3.48115,53.14628
1090.00000,3.46334,53.20625
1091.00000,3.44553,53.26616
1092.00000,3.42775,53.32602
1093.00000,3.40998,53.38582
1094.00000,3.39222,53.44557
1095.00000,3.37448,53.50527
1096.00000,3.35675,53.56491
1097.00000,3.33903,53.62449
1098.00000,3.32133,53.68402
1099.00000,3.30365,53.74350
1100.00000,3.28598,53.80292

