min_Gmag_bin,max_Gmag_bin,factor_uJava,factor_u,factor_J0378,factor_J0390,factor_J0400,factor_J0410,factor_J0420,factor_J0430,factor_J0440,factor_J0450,factor_J0460,factor_J0470,factor_J0480,factor_gSDSS,factor_J0490,factor_J0500,factor_J0510,factor_J0520,factor_J0530,factor_J0540,factor_J0550,factor_J0560,factor_J0570,factor_J0580,factor_J0590,factor_J0600,factor_J0610,factor_J0620,factor_rSDSS,factor_J0630,factor_J0640,factor_J0650,factor_J0660,factor_J0670,factor_J0680,factor_J0690,factor_J0700,factor_J0710,factor_J0720,factor_J0730,factor_J0740,factor_J0750,factor_J0760,factor_iSDSS,factor_J0770,factor_J0780,factor_J0790,factor_J0800,factor_J0810,factor_J0820,factor_J0830,factor_J0840,factor_J0850,factor_J0860,factor_J0870,factor_J0880,factor_J0890,factor_J0900,factor_J0910,factor_J1007
4.0,5.0,1.4881118309706904,1.8977241287496067,0.8635100296050945,0.8309878885252626,0.9171410805459337,1.0319904323659226,1.0440503788461641,1.0310851643051544,0.9183631584745794,0.9030219228960811,0.8025420463414031,0.9089437704528677,0.8676100524837063,3.7143475203730154,0.9212423197942953,0.9623929365010229,0.8883885688661981,0.8243335689878758,0.8571953335411555,0.8739814653709537,0.7781723961610976,0.9215444203683655,0.8147124212100628,0.8985305019201386,0.8246914065578996,0.8347157753698347,0.8340058421434371,0.7345425533787685,2.3146195437350334,0.8625575398881091,0.7353779809410881,1.0083469299097005,0.9410239499959016,0.9934250686515608,1.122160091329632,1.3200502966475325,1.2230814600079,1.2811579369038475,1.315155315228003,1.2958444651829193,1.3386588828973136,1.2300178044026313,1.347820563293568,5.819749948061077,1.3626827017508643,1.2727766835095486,1.376124525227148,1.0737428506891065,1.1395229244052008,1.0866860840086412,1.1520014728241366,1.035219855363484,0.9849510670215982,0.9523114287216162,0.7776003363561501,0.7926774197548788,0.7704824331137105,0.6533463117642277,0.730087190361985,1.73412684230219
5.0,6.0,1.4720925965818088,1.8912993841603702,0.8800950505690264,0.8467253406298982,0.9398977110204481,0.958302998867826,0.9368407191357195,0.9558203615869275,0.9471037291168173,0.8882532433659452,0.9128609320153493,0.9072837340599962,0.9643868499361081,3.4347940668543546,0.9393128059489806,0.9085192390416497,0.8640735565956845,0.9648562167723854,0.9289609369339984,0.8962232569489181,0.7763440760918645,0.8919541629139007,0.8012563056754671,0.9335306050980565,0.9255834054281173,0.9232704843186961,0.9082994127192248,0.859241500486113,2.029350917535463,0.8716767660720293,0.7828468202541016,0.9798136527018042,0.8644089591267747,0.9175541869373702,1.0240086618819928,1.0874720200628953,1.1531005870499214,1.2119580437059265,1.281649802365433,1.2847592122393072,1.2608906983473172,1.3029277649891773,1.269767919643631,5.603992845658487,1.2567567035428504,1.1721945143794357,1.183176181916083,1.1380610034646776,1.1014526546911796,1.107348791909371,1.118762872536876,1.056784417733325,1.0039447941915083,0.9341313791113336,0.8596431891128159,0.7979275012165733,0.8543267116509614,0.7869892784818927,0.7054996835453968,1.7520542821990448
6.0,7.0,1.689989507008256,2.205906803633916,0.9990531963871276,0.988765918500994,1.086170051058497,1.1295824591744223,1.1180035415527956,1.0432677099732086,1.0486684600832752,0.9461615782053859,0.9449592890770674,0.9835130150191097,1.0299527260297565,3.7606295135324075,1.0482815757168975,1.0986588275452627,0.9287519185130109,0.9970802709988389,1.0822236763347068,1.003648495724422,0.9733837941304861,1.1273250686401055,1.0348575917095943,1.0948741610278727,1.1267013509003938,1.1815598060783818,1.2949245886461331,1.1040423000622552,2.165796462726557,1.2287833506123893,0.6768879413998296,0.8724945740136133,0.8305945209741209,0.8625402656267143,0.9397698493519517,0.9413214564202068,0.9872915167702729,0.9681928539073246,1.0738689039124525,1.0593921079241264,1.0438727867411377,0.9593905370381886,1.096004379373304,5.16045780191941,0.9842804044710634,1.090486169333038,0.9790664166135208,1.0406146123904791,0.9006363875876535,0.8807575356797741,0.9014782716553051,0.918197599860695,0.8057008811615466,0.8565879570617589,0.7919059945642759,0.7297460097599293,0.6639793152894213,0.68066888100461,0.6415961478850987,1.6246202560718124
7.0,8.0,1.2889520871825408,1.7163201752490693,0.9314821522181681,0.8941989944190263,1.0230059687624875,1.0453105962328704,0.991262002193795,0.9698143274923787,0.9842264559918213,0.9263130289947616,1.0432557831840947,1.0074394320712412,1.0376806753902734,3.5585366509846934,1.0059015307140622,1.0339606271345625,0.9604583027069432,1.0260109183829602,1.073403793643076,1.0143637365351543,0.986164355614251,1.0584796934962357,1.0018368458111055,1.0923682323225385,1.103153525508012,1.1674550319719033,1.1998871569119511,1.0976883365534318,2.2061703381638855,1.2138146405023509,0.6927555192969208,0.9154299476316412,0.8590934840088769,0.7807706871494602,0.8536822681595653,0.9764281915627572,0.9710331126638333,0.9078927170402384,1.04587489167742,1.0284288021753483,1.0614157892213107,0.968167233985793,1.0984633263069643,5.166066432124969,0.952148431904704,0.9541989348299562,0.9523002942290404,0.9990768279447825,0.9484688011604099,0.9026374169954562,0.9670649682673323,0.9278020146034722,0.8188613618327933,0.8932428995562851,0.8230938096195589,0.7557914499858029,0.6830954969928148,0.7263077901224002,0.6448725593249662,1.7623036101993215
8.0,9.0,1.6247449305657788,2.069647477115052,0.9285722646783792,0.8248839187873211,0.9090575391706424,0.8991305106207874,0.8078992429469378,0.8209827705366626,0.8500819790365073,0.7899435336070916,0.8872004752805447,0.9124513685029798,0.9356989231268245,3.1373459592894877,0.9242122972853974,0.9416335488626688,0.833815915144099,0.8265464622675838,1.055296800405449,1.0200309551756823,0.8257590463421955,1.0631886489595126,0.9929255032008706,1.0658322357423236,0.9660547115493191,1.3463918661105128,1.3219631691658287,1.0808857848054128,2.091985221783549,1.201172414146625,0.7231685855483361,0.9812186062054484,0.914680445103339,0.9104895301237652,0.9261638523768791,0.9942644897430502,0.9306777096995049,0.9540884548127258,0.8775476331307699,1.0146350246611464,1.0975959203866774,0.8989990601356069,1.1113101869824944,4.2945780503477735,0.9562722598329021,1.0380614124148306,1.0135339165277653,0.9459641082759813,0.871048622827244,0.9098477496831869,0.9643839133534451,0.9513161048524897,0.802357123011844,0.8388828920850921,0.7970115628143573,0.745525212400582,0.7669968078117775,0.6805505183183277,0.6872127232265465,1.5928159674086801
9.0,10.0,1.7634330199508366,2.1717410071405023,1.044458070878671,0.960284186903124,1.0489562776299608,1.0577248643746326,0.8906461523981566,0.9195166145154461,0.9285030156787529,0.9693203946746426,1.0452363545941203,1.0318864128855265,1.0549125498463732,3.4996951595284362,1.0955140723409393,1.0583974271304482,1.0186742621325284,1.0171070950558176,1.156862149193111,1.1008259183830766,1.0112610356107536,1.303070487181099,1.1708066036077156,1.2114027121779203,1.1183977926686146,1.437682933353379,1.4036835293435397,1.1808525802774532,2.457013168622363,1.3759819520393624,0.9460353772195182,1.0310551824950869,1.0968399224474394,0.9962823712140871,0.978346482660578,1.045197864531576,1.085792143523069,1.077521325417146,1.1429640102016463,1.1640028605157657,1.1466531305994125,1.0197709563293262,1.1425702070011705,4.520711293208425,1.0559158789598908,1.0530577124296592,1.046148268983905,0.993517709717286,1.0321333250477018,0.9562520779712962,1.029091904515405,0.981603642339266,0.9330040388100573,0.9527920985996948,0.8737468302287659,0.870196369635027,0.7994613286539968,0.7393106949554678,0.7394666516480896,1.422179230819452
10.0,11.0,1.5428131324534076,1.891477111641696,0.9192089764698175,0.9265845936825132,1.0129900381741062,1.0193539947216381,0.8123288126347599,0.8569621828999071,0.9160027960768491,0.8902444074830713,0.9880021332142662,0.9531356411235453,1.0437020452563148,3.7326634403589276,1.0402691942954316,0.9562040407306531,1.0112929323982824,0.9208379355138947,0.9792887441134961,0.9984858415729925,0.9918188394124164,1.173474678717755,1.0759446286526777,1.1121495396144692,1.1303571896823594,1.2702480864745436,1.2554951365582996,1.1690954187690106,2.3202169333785685,1.3271753981108316,0.8439386784645204,0.9650045122606046,0.9925408860902623,0.837923560053325,0.8288970057304443,0.9046090260509276,0.938696729795937,0.9378394552397189,0.9475037530345761,0.9877680460850778,0.9980740596700413,0.9694306358693129,1.061941365869917,4.24274345793189,0.9645142812346336,0.9854624931629524,1.0035039135815078,0.939518714760222,0.9545208485331744,0.9241760114979418,0.9125834318589756,0.920844541130676,0.9119555482384685,0.9233028416874856,0.8751722579727741,0.8134062120613207,0.7799697627281754,0.7627607343897573,0.7055679247278035,1.1844094590064547
11.0,12.0,1.4363640260796613,1.5975213647631368,0.831918645903699,0.8454974616899787,0.9099507968406914,0.9812247349257861,0.7670693382365832,0.7858353911453375,0.8422853261642362,0.8194531561452385,0.9403716809991114,0.8732463622861664,0.9215558494409357,3.141164936720485,0.8973323789652152,0.7863230391313805,0.8461015212894272,0.7462940900631491,0.852716578522651,0.8250142855398237,0.8206688361434451,1.0171877649854428,0.8725963368951422,0.9119674495400019,0.9274242279588387,1.0988444618167064,1.0362045501663013,0.9265310200273318,1.786854663080374,1.1452426604899655,0.8071965407410973,0.9482862056255703,0.9230233811988775,0.8001184981291618,0.7923073393060476,0.8657116488381914,0.8707714817755052,0.8809859937934799,0.9093702108764208,0.9153639823474494,0.8995853620556876,0.9211718502209056,0.9561526600162934,3.4568223195437673,0.8828973468045854,0.9601861310905082,0.9271550594393896,0.8854218001291884,0.8990866626643295,0.8774817995337632,0.8845180176926721,0.8946205787953815,0.8918578148652165,0.8924091322692302,0.8604535766906094,0.8316321482264478,0.7819962523028482,0.7754031520822455,0.740795536448968,1.0509795206676311
12.0,13.0,1.366748907698097,1.5184562323365511,0.8424031721844693,0.8117821684193656,0.8584350734599662,0.9134746738586266,0.8012532343168763,0.8226578660345114,0.8207931629488125,0.7894828579863069,0.892172349708676,0.877765897165699,0.8788542819829919,2.7635275006586486,0.8992928041438613,0.8399764344395881,0.9125039749152684,0.8865302734690159,0.9420327368499035,0.9512200348272644,0.9722481837714387,1.1251384634106496,0.9810801224578539,1.0349428170810282,1.032693291675869,1.201350224893375,1.1944948393879926,1.1005787563065748,1.7984587514826902,1.3033720748246844,0.8006277127266126,0.8339100733702467,0.8146689710331689,0.7572808592914956,0.7428136786736792,0.8231451267672631,0.8180985495876341,0.7710536894695934,0.8318434855685071,0.865426732736361,0.8915764659999275,0.8639153536127903,0.9025178948361199,3.177115964826365,0.8508333730019082,0.874835634126172,0.8943232936964312,0.9200219313378026,0.9319614828692824,0.941754934541418,0.9437860703555365,0.9743380895280258,0.9494187070644725,1.0264515101845852,0.999586724211017,0.8772770978192804,0.8752534393958011,0.8491651656590571,0.7863623953578722,1.2376290647295565
13.0,14.0,1.300925084627087,1.4028426547363142,0.9264658318525484,0.9046384336787416,0.9559882341537794,0.99221507017817,0.9022068919700713,0.89899583561506,0.9102402313436321,0.8915560481644003,0.9695934476206192,0.9228561251147809,0.9159093188819907,2.4226887607040375,0.9377538652166133,0.880976861146542,0.9255089978737798,0.9205982373758324,0.9575093653500476,0.9645363675400487,0.91881836125618,1.0274342159228622,0.9992814166898119,0.9956268625452589,0.9875481874369945,1.115761409472808,1.1252598762517445,1.0461545484292132,1.5124695921223603,1.1367448631838522,0.8356951349225661,0.8800942408999637,0.8922807619944595,0.8360216858223423,0.8353299611276939,0.8660580798698043,0.8713558967832774,0.8602661301822292,0.8631730631625062,0.8940641162059464,0.9081333247036874,0.9182393215799602,0.9372990625891559,2.4691192434962623,0.9037375706418054,0.9024638805328953,0.938558190392384,0.941632020566759,0.9556362469721522,0.9546572935321874,0.9981405574684714,0.9885034017504672,0.9629814560593778,1.010463799566816,0.9934996383514887,0.9463125222480493,0.9311597176343904,0.904750833822864,0.8829325307127056,1.2062416377491472
14.0,15.0,1.2534301297485424,1.3256519926264534,0.979065615410992,0.9398131215636907,0.9767775869453112,1.0142033917940665,0.9758068167203313,0.9346909665572233,0.9224653863416068,0.9696147659338532,0.9613604711515209,0.9881722470417577,0.9746962823009565,1.8242042750144463,0.9481057000558882,0.9351483167505784,0.951090438454092,0.9598286477807922,0.9932273106441681,0.9838628733612236,0.9986524669447145,1.0381365221875543,1.0233725994050547,1.009294705321173,1.0145420889051164,1.085709008162466,1.0971493652067963,1.028329566028053,1.3744119754029325,1.0841871333672257,0.883654329290906,0.9243915442443404,0.9041516964530826,0.8743292283039328,0.8873029741955136,0.9158314519206459,0.9339789101857647,0.9298302457067456,0.9327540545162162,0.9673270996961778,0.9477275438875005,0.9232289100811026,0.9362121444534995,1.9327446144984677,0.9045480454831137,0.9377477921335184,0.9660059016978242,0.9632138043698344,0.9674080207017446,0.9749136962439697,0.987802135971928,0.9803558335296707,0.9858333819284746,0.9448280119871975,1.0057081971209487,0.9603951906460866,0.96119086342998,0.944379152819375,0.952818004201192,1.1681379058688592
15.0,16.0,1.1849180865940236,1.301658576506914,1.0331001458333244,1.0317546783510516,1.0071764229575457,1.0212440715972915,1.002501492988109,0.9886063321436642,0.9706186259128707,1.01492043019002,0.992503074972801,1.0054594621071895,0.9917005268629,1.5886669631657355,0.9818990493121715,0.9611596397997546,0.9762209918171001,0.9990688373047145,0.9964908147390229,0.9945459268131993,0.9908681969682338,1.0252134367227619,1.0121316455492089,0.9980697572547494,1.0097393734636808,1.05795303830441,1.0714972806359828,1.0088228358574676,1.2371939574271842,1.0637349539174914,0.9313663859603648,0.9458578360362482,0.9521419777445428,0.9277528088165998,0.9655323734236365,0.9732985578735462,0.9415291616377258,0.9692118225919026,0.9592311981002264,0.974926401523107,0.9671211149098788,0.9711523121324428,0.9518037552975238,1.665443525261873,0.9598715422473939,0.9793728544140453,0.9551575350556188,0.9785521741854364,0.9818097692784606,1.0120967796013918,0.9811214249055586,1.0090691257597921,1.00779098939378,0.9937152829516539,0.9997155675875167,0.9891179795811765,0.9886868965482405,1.0036429035284251,0.9941025777789094,1.1537685672351936
16.0,17.0,1.1349629724917187,1.24788984303932,1.0453914589292186,0.9965139697234807,1.0028224219837982,1.0335477413806629,0.9961966092717741,1.0020201669905004,0.9966842745965852,1.0036099188676724,0.9947459101238663,1.0119957529400139,1.0064672946317608,1.5376818364416986,1.0118407991999885,0.9913500662608454,0.9983474194184982,0.9833324910972494,1.0058824370946136,1.001611558550012,1.0144064927549166,1.0210988033489765,1.0102772789279304,1.0062796549718063,1.0166684688300396,1.0168511652305035,1.0320526289570955,1.0136977123951534,1.1708808993013053,1.0445182873856762,0.9809424015192445,0.9725957921194361,0.9859041836786554,0.9638150222579923,0.9885490747281016,0.9804495402113437,1.0038577531275186,1.0037859551384591,0.9857293278951047,1.0170555635873024,1.0001698244838697,1.007529978896715,0.9858088913462676,1.5139065282859283,0.975735426376235,0.9999244734721221,1.0003551031574094,1.0010861966791598,1.004191489942074,0.9983096571172263,0.9877837467098523,0.9962073557005924,1.0016500337134593,0.9988862770211049,1.0072206490688818,0.973754305394476,0.9895839156763702,0.9844784935303404,0.9971228887549903,1.0774630879675926
17.0,18.0,1.1007036420659153,1.1463937642274802,1.0390157991224687,1.0168977203536769,0.9980444561004902,1.0207580065187218,1.0399107923561912,0.9901699971149833,1.0194355238856456,1.0152809840653192,1.0206472399852218,1.0314008116430358,0.9866907704537882,1.5362286989987375,1.0010653460209384,1.0051904544101955,1.0000168250491195,0.9981528770088581,0.9830730844691566,1.0407931662994478,1.0142819826373155,1.0084992040145633,1.009397419879281,1.0072751958486454,1.0193023737505988,1.0710711036814407,1.0231721019103326,1.02413143637217,1.2073602919709965,1.0491065396601562,0.924209623306905,0.9846202712705607,0.979273308461228,1.0017600181536894,0.9266395777760437,0.9818660703214417,0.9586259044587047,0.9774971861535899,1.0049540558448542,0.9718487914742973,0.9743612034167553,0.9901352198002902,0.9918703968457636,1.5990181748286942,1.0093874647913048,0.9430962463649133,1.0415983959907562,1.051112986826955,0.9780093701114257,0.9855411238720257,0.994655310471315,1.0037941269761468,1.0237752894209062,0.9808343361345129,0.9997014530224524,0.9754200422209447,0.9360299120615068,0.9881646462891924,1.0009323402010395,1.1222403558921934
18.0,19.0,1.12309829419176,1.1976674833196637,1.0310434252837124,1.0286989005179634,1.031527681772978,1.0602762964831198,1.01666869460793,0.9758739341117155,0.9969590320306488,1.011100827383704,1.0144806675774243,1.0420876637627388,1.0413135180847801,1.6539459409108779,0.9829074820741617,1.016279056196011,0.9666197824381153,1.0366438334716617,1.0223331825743236,1.0046951195071394,1.0365844315577135,1.0377100071536898,1.012445502848433,1.0331834459471785,1.0069624624147047,1.031524701853026,0.9756925202136373,1.0138227623405158,1.2228990759946048,0.9857511137697449,0.9781300978363687,1.0072688266772158,1.0191668991847658,1.0150926378266614,0.9955383007752049,0.9703115105426966,1.010230271725516,1.0376537042555503,0.9769123979988741,1.0058896731820575,1.0263917171519719,1.0005475789356169,0.9974215230712495,1.5004362317105593,1.0073070524074872,1.030236741438181,1.018456344297757,1.0207198731172846,1.0157708385043707,1.0252556612101822,0.9961403795019547,0.9871467891536996,0.9801521406351523,1.0364924805538132,1.0263526992888747,0.9904382503127348,1.0095108509925943,1.0460931362311174,1.0219303151115562,1.0366072639760107
19.0,20.0,1.1384743966622515,1.1916868709148927,1.0920144662402893,1.0439934414537853,1.0474961127629618,1.018015116149459,1.040723204463803,1.044676672668976,1.0030106701985921,0.9752131412698483,0.9587223822905164,1.0357607269737197,1.030913288008631,1.576834695765518,0.964687664124906,1.0194577612208513,1.0109548672608553,1.0341627581575148,0.9891747278269389,1.0379034165854573,1.0244354444293382,1.0400068838227439,1.0315925395617191,1.041676698704965,1.0540295006511486,1.025240615249861,1.0280189530101802,1.0440049167862668,1.1707657977413826,1.0436233950481317,1.0000089481331051,1.0189190134911652,1.0128752040312996,0.9879332461901207,1.0435807554273215,1.0192009251577052,0.9855109004609459,1.0022480074630808,1.0498613892961766,1.0306730346192188,1.0301827558700616,1.0381131569423405,1.008974447764253,1.5049869014289619,0.9823838366131384,1.0057132477474577,1.031692993619083,1.0055116349722266,0.9909630119780601,1.0120771864143565,1.0352915635338968,1.0093509629560922,1.0264429709677898,1.0106542410973631,0.9770054273314774,1.0020422109814853,1.0276493956008732,0.9952598738739967,1.0320620223672612,1.016489863682256
20.0,21.0,1.118609703529248,1.1933846310474527,1.1117103074313954,1.0418261039109105,0.9299150045681278,1.0670021245951402,1.0148257397756262,1.0336948882873984,1.0555844367907086,0.9966555951076643,0.9850200420242166,1.0141779893520744,1.0199564225657727,1.526586915425096,1.0026038798765589,0.9631067990342455,0.9770334511322339,1.0125470005946269,0.9631510914856457,0.9665491371418404,1.0057854199548966,0.9354415683570869,1.0207340038549015,0.9965394317111786,0.9883170520525913,0.9244128084911919,0.9734197509187961,0.9799541463687335,1.1251085287319724,0.9665528928601925,1.0046247408591618,1.014072609372275,0.9585916636879568,1.0955246098970184,0.9814591751280113,1.0260123078768957,1.0051406405850993,1.0298665707928365,1.02283082288774,0.9567662265366401,1.0508845730948444,1.0072556204227832,1.0155936820402607,1.6210768366474437,1.0242776310022599,1.02246734123288,0.9875753942110741,0.9666549684878197,1.0399501055438938,1.0581340094749778,1.035337165909302,1.0011552801712242,0.9942130090942225,1.022414813929449,1.0199856365936895,1.0863203896112346,1.0004680001685249,1.0190241459913345,1.0545724065771598,1.0400964105577644
